 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    


    TLevel      Time           dt     ItrW ItrC    ItCum  KodT  KodB Converg  Peclet   Courant

       14  0.1000000E+01  0.20873E+00    2    1       28    -4     2     T     0.088     0.003
       17  0.2000000E+01  0.37500E+00    2    1       34    -4     2     T     0.086     0.005
       19  0.3000000E+01  0.66667E+00    2    1       38    -4     2     T     0.085     0.008
       21  0.4000000E+01  0.50000E+00    2    1       42    -4     2     T     0.084     0.005
       22  0.5000000E+01  0.10000E+01    2    1       44    -4     2     T     0.083     0.010
       23  0.6000000E+01  0.10000E+01    2    1       46    -4     2     T     0.082     0.009
       38  0.7000000E+01  0.14087E+00    3    1       89    -4     2     T     0.100     0.217
       42  0.8000000E+01  0.44444E+00    3    1      103    -4     2     T     0.100     0.150
       44  0.9000000E+01  0.66667E+00    2    1      107    -4     2     T     0.099     0.132
       46  0.1000000E+02  0.50000E+00    2    1      111    -4     2     T     0.099     0.068
       47  0.1100000E+02  0.10000E+01    2    1      113    -4     2     T     0.099     0.102
       48  0.1200000E+02  0.10000E+01    2    1      115    -4     2     T     0.098     0.082
       49  0.1300000E+02  0.10000E+01    2    1      117    -4     2     T     0.098     0.070
       50  0.1400000E+02  0.10000E+01    2    1      119    -4     2     T     0.098     0.061
       51  0.1500000E+02  0.10000E+01    2    1      121    -4     2     T     0.098     0.054
       52  0.1600000E+02  0.10000E+01    2    1      123    -4     2     T     0.098     0.050
       53  0.1700000E+02  0.10000E+01    2    1      125    -4     2     T     0.098     0.051
       54  0.1800000E+02  0.10000E+01    2    1      127    -4     2     T     0.098     0.052
       55  0.1900000E+02  0.10000E+01    2    1      129    -4     2     T     0.097     0.033
       56  0.2000000E+02  0.10000E+01    2    1      131    -4     2     T     0.096     0.024
       57  0.2100000E+02  0.10000E+01    2    1      133    -4     2     T     0.094     0.019
       58  0.2200000E+02  0.10000E+01    2    1      135    -4     2     T     0.092     0.014
       59  0.2300000E+02  0.10000E+01    2    1      137    -4     2     T     0.090     0.010
       60  0.2400000E+02  0.10000E+01    2    1      139    -4     2     T     0.087     0.008
end
